Brand,Model,Capacity,Energy Rating,Type,Features,Color,Material,Warranty Period,Country of Manufacture,Price,Random Numeric,Feature 1,Random Text Feature 2,Irrelevant Category Feature 3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bosch,Model-2381,450.0,4 Star,French Door,Yes,White,Plastic,3 Years,China,1066.0,4.0,No,Beta,CatB
Siemens,Model-2382,250.0,3 Star,French Door,No,Silver,Plastic,2 Years,Germany,1577.0,49.0,No,Beta,CatB
Siemens,Model-2383,450.0,3 Star,Top Freezer,Yes,White,Plastic,2 Years,Germany,997.0,92.0,Yes,Beta,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bosch,Model-2386,350.0,4 Star,Top Freezer,No,Black,Plastic,2 Years,USA,334.0,99.0,Yes,Delta,CatA
LG,Model-2387,350.0,4 Star,Top Freezer,Yes,Silver,Plastic,1 Year,USA,1918.0,5.0,Yes,Delta,CatA
,,,,,,,,,,,,,,
Whirlpool,Model-2389,500.0,5 Star,Top Freezer,Yes,Red,Plastic,1 Year,Germany,656.0,28.0,No,Alpha,CatB
LG,Model-2390,500.0,5 Star,Bottom Freezer,No,White,Plastic,1 Year,China,364.0,38.0,Yes,Delta,CatB
Whirlpool,Model-2391,500.0,3 Star,Bottom Freezer,Yes,Blue,Aluminium,3 Years,Germany,1957.0,5.0,No,Beta,CatB
,,,,,,,,,,,,,,
Whirlpool,Model-2393,250.0,4 Star,French Door,No,Red,Aluminium,3 Years,Korea,1196.0,49.0,No,Gamma,CatB
LG,Model-2394,400.0,3 Star,French Door,Yes,Blue,Aluminium,2 Years,China,1244.0,19.0,No,Gamma,CatA
Samsung,Model-2395,250.0,5 Star,Side by Side,No,Red,Steel,2 Years,USA,1366.0,10.0,Yes,Beta,CatB
Whirlpool,Model-2396,300.0,4 Star,Top Freezer,Yes,Silver,Aluminium,3 Years,Germany,1560.0,70.0,No,Gamma,CatB
Whirlpool,Model-2397,300.0,4 Star,Bottom Freezer,Yes,White,Plastic,2 Years,USA,1611.0,57.0,Yes,Beta,CatC
LG,Model-2398,500.0,5 Star,French Door,Yes,Blue,Aluminium,3 Years,USA,354.0,82.0,No,Gamma,CatC
Samsung,Model-2399,450.0,5 Star,Top Freezer,Yes,White,Aluminium,3 Years,China,1856.0,1.0,No,Alpha,CatA
LG,Model-2400,250.0,5 Star,Bottom Freezer,Yes,Blue,Plastic,1 Year,Korea,1506.0,43.0,No,Gamma,CatC
LG,Model-2401,250.0,3 Star,Top Freezer,No,Silver,Plastic,2 Years,Korea,1450.0,72.0,No,Beta,CatA
Bosch,Model-2402,350.0,5 Star,Bottom Freezer,Yes,Silver,Plastic,3 Years,USA,1229.0,62.0,No,Gamma,CatB
Bosch,Model-2403,350.0,4 Star,Bottom Freezer,Yes,Red,Aluminium,3 Years,USA,1249.0,21.0,Yes,Beta,CatB
Siemens,Model-2404,300.0,4 Star,Side by Side,No,White,Plastic,1 Year,Germany,417.0,30.0,Yes,Gamma,CatC
Whirlpool,Model-2405,400.0,3 Star,Top Freezer,Yes,Black,Steel,1 Year,Korea,1581.0,73.0,Yes,Delta,CatC
Samsung,Model-2406,450.0,3 Star,French Door,No,Black,Aluminium,3 Years,Korea,1663.0,30.0,Yes,Beta,CatB
LG,Model-2407,350.0,3 Star,Top Freezer,No,Red,Aluminium,1 Year,Germany,1664.0,5.0,No,Beta,CatB
,,,,,,,,,,,,,,
Samsung,Model-2409,450.0,4 Star,Side by Side,Yes,Black,Plastic,2 Years,Korea,1644.0,9.0,Yes,Delta,CatB
,,,,,,,,,,,,,,
Whirlpool,Model-2411,500.0,4 Star,Side by Side,No,White,Plastic,3 Years,Korea,1012.0,52.0,Yes,Alpha,CatC
Whirlpool,Model-2412,300.0,4 Star,Bottom Freezer,No,Red,Aluminium,2 Years,Germany,596.0,62.0,Yes,Delta,CatC
Bosch,Model-2413,350.0,4 Star,French Door,No,Silver,Plastic,2 Years,China,466.0,45.0,Yes,Alpha,CatA
Whirlpool,Model-2414,300.0,4 Star,Side by Side,No,Silver,Aluminium,1 Year,Germany,377.0,86.0,No,Beta,CatB
Bosch,Model-2415,500.0,3 Star,Top Freezer,Yes,Silver,Steel,2 Years,Korea,419.0,8.0,No,Gamma,CatA
Siemens,Model-2416,250.0,4 Star,Side by Side,Yes,Black,Plastic,1 Year,Germany,835.0,48.0,Yes,Beta,CatA
Bosch,Model-2417,500.0,5 Star,Side by Side,No,Blue,Aluminium,2 Years,Korea,744.0,94.0,Yes,Delta,CatB
Siemens,Model-2418,450.0,3 Star,French Door,Yes,Red,Aluminium,3 Years,China,433.0,72.0,No,Gamma,CatB
Samsung,Model-2419,250.0,3 Star,Top Freezer,No,Silver,Aluminium,1 Year,Korea,936.0,49.0,No,Alpha,CatB
Whirlpool,Model-2420,500.0,3 Star,Bottom Freezer,No,Silver,Steel,2 Years,Korea,1396.0,35.0,No,Alpha,CatC
Siemens,Model-2421,300.0,4 Star,French Door,Yes,Silver,Aluminium,3 Years,USA,1170.0,83.0,Yes,Alpha,CatA
,,,,,,,,,,,,,,
Whirlpool,Model-2423,250.0,5 Star,Bottom Freezer,No,White,Plastic,1 Year,Germany,621.0,29.0,No,Beta,CatA
Bosch,Model-2424,300.0,5 Star,Side by Side,No,Black,Plastic,3 Years,China,666.0,62.0,Yes,Gamma,CatC
LG,Model-2425,300.0,5 Star,Side by Side,Yes,Black,Plastic,3 Years,USA,749.0,97.0,Yes,Gamma,CatB
Bosch,Model-2426,400.0,3 Star,Side by Side,Yes,Red,Steel,1 Year,China,780.0,99.0,No,Delta,CatB
Samsung,Model-2427,400.0,4 Star,Bottom Freezer,Yes,White,Aluminium,2 Years,Korea,872.0,46.0,Yes,Alpha,CatB
LG,Model-2428,300.0,5 Star,French Door,Yes,Silver,Aluminium,2 Years,China,1392.0,36.0,Yes,Delta,CatA
Samsung,Model-2429,400.0,5 Star,Side by Side,Yes,Silver,Steel,1 Year,Korea,769.0,54.0,Yes,Alpha,CatC
Bosch,Model-2430,250.0,5 Star,Side by Side,Yes,White,Aluminium,1 Year,USA,1196.0,86.0,Yes,Beta,CatA
Bosch,Model-2431,300.0,4 Star,French Door,No,Red,Steel,1 Year,Korea,581.0,15.0,Yes,Delta,CatB
Bosch,Model-2432,400.0,5 Star,Bottom Freezer,Yes,Black,Steel,1 Year,Germany,988.0,17.0,No,Gamma,CatC
Bosch,Model-2433,450.0,3 Star,Top Freezer,No,Red,Aluminium,2 Years,Korea,1035.0,88.0,No,Beta,CatC
LG,Model-2434,350.0,5 Star,French Door,Yes,White,Steel,3 Years,Korea,1980.0,94.0,No,Gamma,CatB
LG,Model-2435,350.0,4 Star,Bottom Freezer,No,White,Plastic,2 Years,China,891.0,14.0,Yes,Gamma,CatB
Whirlpool,Model-2436,450.0,4 Star,Top Freezer,Yes,Silver,Steel,3 Years,Germany,678.0,74.0,Yes,Gamma,CatA
Bosch,Model-2437,300.0,3 Star,French Door,No,White,Steel,1 Year,Korea,482.0,34.0,No,Alpha,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Siemens,Model-2442,450.0,4 Star,French Door,Yes,Red,Plastic,1 Year,USA,727.0,73.0,No,Alpha,CatA
Siemens,Model-2443,400.0,3 Star,Side by Side,No,Red,Steel,2 Years,USA,1137.0,37.0,No,Alpha,CatC
Samsung,Model-2444,500.0,3 Star,Bottom Freezer,No,Black,Steel,3 Years,China,850.0,3.0,No,Alpha,CatA
LG,Model-2445,500.0,5 Star,Side by Side,Yes,Blue,Plastic,3 Years,USA,593.0,15.0,No,Beta,CatA
,,,,,,,,,,,,,,
Bosch,Model-2447,450.0,4 Star,French Door,Yes,Blue,Steel,3 Years,China,671.0,84.0,Yes,Alpha,CatC
LG,Model-2448,300.0,3 Star,French Door,Yes,Blue,Plastic,1 Year,Korea,617.0,77.0,No,Beta,CatC
LG,Model-2449,400.0,4 Star,Bottom Freezer,No,Silver,Steel,2 Years,Germany,919.0,45.0,Yes,Beta,CatA
Siemens,Model-2450,500.0,4 Star,Bottom Freezer,Yes,Silver,Steel,3 Years,Korea,1757.0,73.0,No,Delta,CatA
Whirlpool,Model-2451,350.0,3 Star,Bottom Freezer,No,Red,Plastic,2 Years,Germany,946.0,97.0,Yes,Beta,CatA
,,,,,,,,,,,,,,
Bosch,Model-2453,450.0,3 Star,Top Freezer,Yes,Red,Plastic,2 Years,China,1720.0,96.0,Yes,Gamma,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Whirlpool,Model-2460,400.0,3 Star,Top Freezer,Yes,Silver,Steel,3 Years,USA,1882.0,62.0,No,Delta,CatC
Bosch,Model-2461,500.0,3 Star,French Door,No,Black,Aluminium,3 Years,China,1775.0,26.0,Yes,Beta,CatA
Samsung,Model-2462,500.0,3 Star,Top Freezer,No,Black,Aluminium,3 Years,USA,1070.0,35.0,Yes,Beta,CatA
Siemens,Model-2463,400.0,5 Star,French Door,Yes,Silver,Steel,3 Years,Germany,1091.0,3.0,Yes,Beta,CatA
,,,,,,,,,,,,,,
Samsung,Model-2465,500.0,3 Star,French Door,Yes,White,Aluminium,3 Years,Germany,1457.0,27.0,Yes,Alpha,CatB
Siemens,Model-2466,250.0,3 Star,Bottom Freezer,No,Black,Aluminium,3 Years,Germany,523.0,14.0,No,Beta,CatC
Samsung,Model-2467,350.0,4 Star,Top Freezer,Yes,Blue,Aluminium,1 Year,Korea,1778.0,24.0,Yes,Alpha,CatA
LG,Model-2468,350.0,4 Star,French Door,No,Silver,Aluminium,1 Year,China,1141.0,44.0,Yes,Gamma,CatB
Bosch,Model-2469,450.0,4 Star,Bottom Freezer,No,Red,Plastic,3 Years,Germany,1517.0,99.0,No,Alpha,CatB
Whirlpool,Model-2470,350.0,4 Star,Bottom Freezer,No,Red,Plastic,2 Years,USA,1640.0,30.0,Yes,Alpha,CatC
Samsung,Model-2471,450.0,4 Star,Side by Side,Yes,Black,Aluminium,1 Year,USA,1077.0,91.0,Yes,Delta,CatC
Siemens,Model-2472,450.0,4 Star,Bottom Freezer,No,Silver,Plastic,1 Year,Korea,1846.0,30.0,Yes,Alpha,CatA
Bosch,Model-2473,500.0,3 Star,French Door,Yes,Blue,Steel,1 Year,Korea,1336.0,22.0,Yes,Delta,CatB
Whirlpool,Model-2474,350.0,5 Star,Top Freezer,No,Black,Steel,3 Years,USA,1165.0,60.0,No,Alpha,CatC
Whirlpool,Model-2475,250.0,5 Star,Side by Side,Yes,Black,Plastic,1 Year,Germany,1803.0,4.0,No,Alpha,CatC
Whirlpool,Model-2476,450.0,3 Star,Bottom Freezer,No,Blue,Plastic,3 Years,China,1626.0,98.0,No,Beta,CatA
Whirlpool,Model-2477,350.0,4 Star,Top Freezer,Yes,White,Plastic,1 Year,China,1090.0,92.0,Yes,Beta,CatC
Siemens,Model-2478,350.0,3 Star,Bottom Freezer,Yes,Blue,Steel,1 Year,China,1090.0,90.0,Yes,Delta,CatA
Whirlpool,Model-2479,500.0,3 Star,Side by Side,No,White,Aluminium,2 Years,China,1061.0,2.0,Yes,Alpha,CatB
Whirlpool,Model-2480,400.0,4 Star,Top Freezer,No,Blue,Aluminium,3 Years,USA,433.0,97.0,Yes,Delta,CatC
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Whirlpool,Model-2483,350.0,3 Star,Side by Side,No,Silver,Plastic,1 Year,Korea,1938.0,20.0,No,Beta,CatC
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LG,Model-2486,350.0,4 Star,Bottom Freezer,No,White,Plastic,2 Years,Germany,1126.0,54.0,No,Alpha,CatA
,,,,,,,,,,,,,,
Whirlpool,Model-2488,450.0,5 Star,Bottom Freezer,Yes,Silver,Steel,1 Year,China,1109.0,56.0,No,Alpha,CatA
Siemens,Model-2489,350.0,5 Star,French Door,Yes,Black,Steel,3 Years,Germany,1265.0,62.0,Yes,Gamma,CatA
Samsung,Model-2490,400.0,3 Star,Top Freezer,No,Black,Plastic,2 Years,Korea,376.0,86.0,Yes,Gamma,CatA
Whirlpool,Model-2491,350.0,4 Star,Side by Side,Yes,Red,Steel,1 Year,Korea,888.0,18.0,No,Delta,CatB
Siemens,Model-2492,450.0,5 Star,Side by Side,Yes,Black,Steel,2 Years,Germany,509.0,13.0,Yes,Delta,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Samsung,Model-2495,450.0,5 Star,French Door,No,Blue,Plastic,1 Year,China,1637.0,7.0,Yes,Alpha,CatC
,,,,,,,,,,,,,,
Bosch,Model-2497,300.0,4 Star,French Door,No,White,Steel,3 Years,Germany,1570.0,30.0,Yes,Gamma,CatC
Bosch,Model-2498,400.0,4 Star,French Door,Yes,White,Steel,3 Years,Korea,1051.0,98.0,Yes,Alpha,CatC
Whirlpool,Model-2499,250.0,5 Star,Side by Side,Yes,White,Steel,2 Years,Germany,697.0,73.0,No,Delta,CatC
,,,,,,,,,,,,,,
LG,Model-2501,300.0,5 Star,Side by Side,Yes,Silver,Steel,2 Years,USA,580.0,66.0,No,Delta,CatB
Bosch,Model-2502,400.0,4 Star,Bottom Freezer,No,Red,Plastic,1 Year,Korea,1234.0,63.0,No,Delta,CatA
Bosch,Model-2503,350.0,3 Star,Side by Side,Yes,Blue,Plastic,2 Years,Germany,703.0,50.0,Yes,Delta,CatB
LG,Model-2504,400.0,4 Star,Side by Side,No,White,Steel,1 Year,USA,499.0,89.0,No,Beta,CatA
Bosch,Model-2505,450.0,4 Star,Top Freezer,Yes,Silver,Plastic,2 Years,Korea,869.0,82.0,Yes,Alpha,CatB
Samsung,Model-2506,250.0,5 Star,Bottom Freezer,No,Silver,Aluminium,3 Years,USA,1456.0,32.0,No,Delta,CatB
Siemens,Model-2507,450.0,5 Star,Top Freezer,Yes,Silver,Aluminium,3 Years,Korea,1223.0,76.0,No,Gamma,CatA
,,,,,,,,,,,,,,
Siemens,Model-2509,350.0,3 Star,Bottom Freezer,Yes,Silver,Steel,1 Year,USA,1665.0,83.0,No,Delta,CatA
Samsung,Model-2510,350.0,3 Star,Side by Side,No,White,Plastic,3 Years,China,874.0,93.0,No,Alpha,CatC
Bosch,Model-2511,250.0,4 Star,Side by Side,Yes,Red,Plastic,3 Years,Korea,1137.0,58.0,No,Gamma,CatC
Samsung,Model-2512,300.0,5 Star,Bottom Freezer,No,Red,Steel,3 Years,Germany,1395.0,61.0,No,Delta,CatC
,,,,,,,,,,,,,,
LG,Model-2514,450.0,4 Star,Top Freezer,Yes,White,Steel,2 Years,Korea,1339.0,96.0,Yes,Gamma,CatC
,,,,,,,,,,,,,,
Bosch,Model-2516,350.0,4 Star,Top Freezer,Yes,White,Steel,1 Year,Germany,902.0,21.0,No,Delta,CatB
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bosch,Model-2519,300.0,3 Star,Side by Side,Yes,Red,Steel,3 Years,Germany,1121.0,16.0,Yes,Gamma,CatB
Bosch,Model-2520,450.0,4 Star,French Door,Yes,Red,Aluminium,1 Year,China,874.0,78.0,Yes,Delta,CatB
Whirlpool,Model-2521,450.0,3 Star,Top Freezer,Yes,Blue,Aluminium,3 Years,USA,612.0,23.0,No,Delta,CatC
Samsung,Model-2522,250.0,4 Star,Side by Side,Yes,Blue,Aluminium,1 Year,USA,1249.0,28.0,No,Alpha,CatB
,,,,,,,,,,,,,,
Bosch,Model-2524,400.0,3 Star,Side by Side,Yes,Silver,Plastic,1 Year,USA,1301.0,94.0,Yes,Delta,CatC
Siemens,Model-2525,350.0,4 Star,Side by Side,No,Red,Plastic,3 Years,Korea,757.0,84.0,Yes,Beta,CatA
Samsung,Model-2526,400.0,5 Star,Bottom Freezer,Yes,Black,Plastic,2 Years,USA,1634.0,97.0,No,Beta,CatC
,,,,,,,,,,,,,,
Siemens,Model-2528,450.0,4 Star,Side by Side,Yes,Black,Plastic,2 Years,China,1823.0,63.0,Yes,Beta,CatB
LG,Model-2529,500.0,5 Star,Top Freezer,No,White,Plastic,3 Years,Korea,1817.0,5.0,No,Alpha,CatB
LG,Model-2530,400.0,4 Star,Side by Side,Yes,Blue,Aluminium,3 Years,Germany,1751.0,66.0,Yes,Delta,CatA
,,,,,,,,,,,,,,
Siemens,Model-2532,250.0,3 Star,French Door,Yes,Red,Plastic,3 Years,Germany,1035.0,34.0,No,Gamma,CatB
,,,,,,,,,,,,,,
Whirlpool,Model-2534,300.0,5 Star,Top Freezer,Yes,White,Steel,1 Year,USA,1350.0,84.0,No,Gamma,CatA
Samsung,Model-2535,350.0,5 Star,French Door,Yes,White,Steel,1 Year,Korea,663.0,24.0,No,Gamma,CatC
Bosch,Model-2536,250.0,3 Star,Bottom Freezer,No,Silver,Steel,3 Years,USA,1582.0,70.0,Yes,Delta,CatC
Whirlpool,Model-2537,250.0,5 Star,French Door,Yes,Silver,Plastic,3 Years,Korea,1607.0,30.0,Yes,Gamma,CatC
LG,Model-2538,300.0,4 Star,Side by Side,Yes,Blue,Aluminium,3 Years,USA,1813.0,13.0,No,Gamma,CatA
Samsung,Model-2539,350.0,4 Star,Bottom Freezer,Yes,White,Steel,1 Year,China,1691.0,62.0,No,Alpha,CatC
LG,Model-2540,350.0,4 Star,Top Freezer,No,White,Plastic,3 Years,Korea,1497.0,40.0,Yes,Alpha,CatA
Samsung,Model-2541,350.0,4 Star,Top Freezer,No,Silver,Plastic,3 Years,Germany,1323.0,30.0,No,Delta,CatB
Samsung,Model-2542,500.0,4 Star,Bottom Freezer,No,Blue,Steel,2 Years,Korea,1453.0,29.0,No,Alpha,CatC
Siemens,Model-2543,350.0,3 Star,French Door,Yes,Red,Steel,1 Year,Korea,1682.0,28.0,No,Gamma,CatB
Whirlpool,Model-2544,450.0,4 Star,French Door,No,Blue,Steel,1 Year,China,1931.0,2.0,Yes,Delta,CatC
LG,Model-2545,500.0,4 Star,Bottom Freezer,No,Blue,Aluminium,1 Year,Korea,769.0,78.0,Yes,Gamma,CatC
Siemens,Model-2546,450.0,3 Star,Bottom Freezer,No,Silver,Steel,3 Years,USA,778.0,41.0,Yes,Beta,CatA
Siemens,Model-2547,450.0,5 Star,Side by Side,Yes,White,Steel,1 Year,Korea,1568.0,26.0,Yes,Gamma,CatA
Bosch,Model-2548,250.0,5 Star,French Door,No,Red,Plastic,2 Years,Korea,416.0,56.0,No,Gamma,CatA
Whirlpool,Model-2549,350.0,5 Star,Bottom Freezer,Yes,White,Steel,2 Years,USA,854.0,58.0,No,Delta,CatC
Samsung,Model-2550,350.0,3 Star,Top Freezer,No,Black,Plastic,3 Years,China,551.0,26.0,Yes,Alpha,CatA
LG,Model-2551,500.0,5 Star,Side by Side,No,Silver,Steel,1 Year,Korea,1041.0,9.0,No,Gamma,CatB
Bosch,Model-2552,500.0,3 Star,French Door,No,White,Plastic,2 Years,Germany,512.0,91.0,Yes,Alpha,CatA
,,,,,,,,,,,,,,
Whirlpool,Model-2554,400.0,3 Star,Side by Side,No,White,Steel,3 Years,Germany,1989.0,42.0,No,Beta,CatA
,,,,,,,,,,,,,,
Samsung,Model-2556,300.0,3 Star,Bottom Freezer,Yes,Red,Plastic,2 Years,USA,489.0,63.0,Yes,Alpha,CatC
Siemens,Model-2557,450.0,5 Star,Bottom Freezer,Yes,Silver,Plastic,2 Years,USA,737.0,49.0,No,Alpha,CatC
Samsung,Model-2558,350.0,3 Star,Bottom Freezer,Yes,White,Aluminium,1 Year,Germany,577.0,53.0,Yes,Gamma,CatA
Samsung,Model-2559,250.0,5 Star,Side by Side,No,Black,Plastic,2 Years,Korea,705.0,99.0,No,Delta,CatA
Whirlpool,Model-2560,450.0,3 Star,Top Freezer,No,Red,Plastic,3 Years,USA,564.0,48.0,Yes,Gamma,CatB
,,,,,,,,,,,,,,
Siemens,Model-2562,400.0,3 Star,Bottom Freezer,No,Silver,Aluminium,1 Year,China,742.0,18.0,Yes,Gamma,CatB
Siemens,Model-2563,500.0,3 Star,Side by Side,No,Silver,Plastic,1 Year,Korea,553.0,44.0,Yes,Beta,CatA
LG,Model-2564,350.0,4 Star,French Door,Yes,White,Aluminium,3 Years,Korea,953.0,49.0,Yes,Beta,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Whirlpool,Model-2567,500.0,5 Star,French Door,Yes,Red,Steel,3 Years,China,656.0,38.0,No,Delta,CatC
Whirlpool,Model-2568,250.0,3 Star,French Door,Yes,Silver,Steel,1 Year,Germany,1534.0,22.0,No,Alpha,CatC
Siemens,Model-2569,300.0,4 Star,Top Freezer,No,White,Steel,2 Years,USA,1000.0,57.0,No,Alpha,CatC
Siemens,Model-2570,450.0,4 Star,Top Freezer,Yes,Silver,Aluminium,1 Year,Korea,563.0,92.0,No,Beta,CatC
Samsung,Model-2571,300.0,4 Star,French Door,Yes,Black,Steel,3 Years,Korea,1231.0,56.0,Yes,Gamma,CatC
LG,Model-2572,400.0,4 Star,Top Freezer,Yes,Blue,Steel,1 Year,Germany,1137.0,94.0,Yes,Gamma,CatB
Siemens,Model-2573,450.0,4 Star,Top Freezer,Yes,Silver,Steel,3 Years,Korea,417.0,22.0,Yes,Gamma,CatB
Whirlpool,Model-2574,500.0,5 Star,French Door,Yes,White,Plastic,3 Years,USA,346.0,29.0,No,Delta,CatA
Whirlpool,Model-2575,300.0,5 Star,Top Freezer,No,White,Aluminium,2 Years,China,1766.0,69.0,No,Beta,CatB
Bosch,Model-2576,300.0,5 Star,Top Freezer,No,Red,Steel,1 Year,China,596.0,10.0,No,Gamma,CatC
,,,,,,,,,,,,,,
LG,Model-2578,250.0,5 Star,Side by Side,Yes,Red,Plastic,2 Years,Korea,659.0,2.0,No,Beta,CatA
Bosch,Model-2579,250.0,3 Star,Top Freezer,No,Black,Plastic,3 Years,China,699.0,59.0,Yes,Delta,CatB
Bosch,Model-2580,400.0,4 Star,Bottom Freezer,No,Silver,Aluminium,2 Years,USA,1322.0,40.0,Yes,Delta,CatB
Samsung,Model-2581,350.0,4 Star,Side by Side,Yes,White,Steel,2 Years,China,992.0,85.0,No,Gamma,CatC
,,,,,,,,,,,,,,
Whirlpool,Model-2583,500.0,5 Star,Side by Side,Yes,Blue,Steel,3 Years,Korea,1832.0,12.0,No,Beta,CatB
Siemens,Model-2584,500.0,3 Star,Bottom Freezer,Yes,Blue,Aluminium,1 Year,China,1798.0,64.0,Yes,Gamma,CatB
LG,Model-2585,400.0,5 Star,French Door,No,Blue,Steel,3 Years,Korea,674.0,50.0,Yes,Gamma,CatC
LG,Model-2586,400.0,5 Star,Side by Side,No,Blue,Aluminium,2 Years,USA,1096.0,92.0,No,Delta,CatB
Siemens,Model-2587,350.0,4 Star,French Door,Yes,Silver,Steel,2 Years,Germany,1120.0,76.0,Yes,Beta,CatC
Bosch,Model-2588,400.0,4 Star,French Door,No,Silver,Steel,2 Years,China,1322.0,81.0,Yes,Alpha,CatC
Whirlpool,Model-2589,400.0,4 Star,Side by Side,No,Red,Steel,3 Years,Korea,1933.0,33.0,Yes,Alpha,CatC
Samsung,Model-2590,450.0,3 Star,Top Freezer,No,Blue,Steel,1 Year,Korea,484.0,47.0,No,Alpha,CatB
LG,Model-2591,250.0,4 Star,Bottom Freezer,No,Red,Plastic,2 Years,Korea,1141.0,88.0,No,Beta,CatC
LG,Model-2592,500.0,3 Star,Top Freezer,No,Black,Steel,1 Year,Korea,658.0,7.0,No,Beta,CatC
,,,,,,,,,,,,,,
Bosch,Model-2594,450.0,5 Star,Bottom Freezer,Yes,White,Steel,1 Year,China,1467.0,19.0,No,Beta,CatA
Bosch,Model-2595,400.0,4 Star,French Door,No,Red,Steel,2 Years,Germany,1889.0,17.0,No,Delta,CatA
Samsung,Model-2596,450.0,3 Star,Bottom Freezer,Yes,Black,Steel,3 Years,Korea,365.0,22.0,Yes,Alpha,CatB
Samsung,Model-2597,300.0,5 Star,Side by Side,No,White,Plastic,2 Years,Korea,1084.0,98.0,No,Delta,CatC
Bosch,Model-2598,300.0,4 Star,Side by Side,No,Red,Plastic,1 Year,Germany,941.0,86.0,No,Gamma,CatB
LG,Model-2599,300.0,5 Star,French Door,No,Blue,Steel,3 Years,Korea,1750.0,24.0,Yes,Delta,CatA
,,,,,,,,,,,,,,
Samsung,Model-2601,250.0,5 Star,Top Freezer,No,Silver,Steel,1 Year,Germany,1469.0,73.0,No,Gamma,CatB
,,,,,,,,,,,,,,
LG,Model-2603,350.0,4 Star,Bottom Freezer,No,White,Plastic,1 Year,China,499.0,36.0,No,Gamma,CatB
Bosch,Model-2604,300.0,4 Star,Side by Side,Yes,Black,Plastic,1 Year,China,1842.0,82.0,No,Gamma,CatA
Bosch,Model-2605,350.0,5 Star,Top Freezer,Yes,Silver,Aluminium,2 Years,Germany,921.0,55.0,Yes,Alpha,CatC
Siemens,Model-2606,350.0,5 Star,Bottom Freezer,No,White,Aluminium,1 Year,USA,1481.0,5.0,Yes,Alpha,CatC
Bosch,Model-2607,500.0,4 Star,Top Freezer,Yes,Red,Aluminium,2 Years,China,1845.0,83.0,Yes,Gamma,CatB
Siemens,Model-2608,400.0,4 Star,French Door,No,White,Steel,3 Years,Germany,1485.0,79.0,Yes,Gamma,CatC
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Siemens,Model-2611,300.0,3 Star,Top Freezer,Yes,White,Plastic,3 Years,China,375.0,76.0,Yes,Beta,CatA
Bosch,Model-2612,400.0,5 Star,Bottom Freezer,No,Blue,Aluminium,3 Years,USA,1774.0,15.0,Yes,Gamma,CatA
,,,,,,,,,,,,,,
Whirlpool,Model-2614,450.0,3 Star,Top Freezer,No,Blue,Steel,3 Years,China,1970.0,55.0,No,Beta,CatA
LG,Model-2615,400.0,5 Star,Bottom Freezer,Yes,Silver,Aluminium,2 Years,Korea,1365.0,25.0,No,Alpha,CatC
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Siemens,Model-2618,300.0,3 Star,Side by Side,No,Red,Steel,1 Year,USA,457.0,73.0,No,Alpha,CatC
LG,Model-2619,450.0,3 Star,French Door,Yes,Red,Plastic,1 Year,USA,1617.0,49.0,No,Beta,CatB
Siemens,Model-2620,500.0,5 Star,French Door,Yes,Silver,Steel,2 Years,China,1649.0,25.0,No,Delta,CatB
Siemens,Model-2621,250.0,3 Star,Bottom Freezer,Yes,Red,Plastic,3 Years,Germany,1987.0,87.0,No,Alpha,CatC
,,,,,,,,,,,,,,
LG,Model-2623,400.0,3 Star,Bottom Freezer,No,Black,Plastic,3 Years,China,1599.0,58.0,Yes,Gamma,CatA
Bosch,Model-2624,350.0,3 Star,French Door,No,Red,Plastic,2 Years,Korea,745.0,46.0,Yes,Beta,CatC
Whirlpool,Model-2625,400.0,5 Star,French Door,No,Red,Aluminium,1 Year,USA,591.0,15.0,No,Beta,CatC
Bosch,Model-2626,450.0,5 Star,Top Freezer,No,Black,Aluminium,1 Year,Germany,781.0,5.0,Yes,Alpha,CatB
,,,,,,,,,,,,,,
Bosch,Model-2628,450.0,5 Star,Top Freezer,No,Black,Plastic,3 Years,USA,1599.0,80.0,No,Alpha,CatA
Samsung,Model-2629,400.0,3 Star,French Door,Yes,Red,Plastic,1 Year,Korea,1418.0,38.0,Yes,Alpha,CatC
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Samsung,Model-2632,400.0,3 Star,French Door,Yes,White,Aluminium,2 Years,Korea,1695.0,59.0,No,Alpha,CatB
Siemens,Model-2633,400.0,5 Star,Top Freezer,No,White,Aluminium,1 Year,China,1120.0,81.0,Yes,Beta,CatB
LG,Model-2634,300.0,4 Star,French Door,Yes,Blue,Plastic,1 Year,Germany,1232.0,25.0,No,Alpha,CatB
,,,,,,,,,,,,,,
